Model,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,train_average_precision,test_average_precision,train_f1,test_f1,train_precision,test_precision,train_recall,test_recall
SVC,0.521558,0.476923,0.514286,0.483333,0.50042,0.484829,0.14,0.111111,0.107692,0.083333,0.2,0.166667
Model,Fold,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,train_average_precision,test_average_precision,train_f1,test_f1,train_precision,test_precision,train_recall,test_recall
SVC,1,0.509090909090909,0.5,0.5,0.5,0.4909090909090909,0.5,0.0,0.0,0.0,0.0,0.0,0.0
SVC,2,0.509090909090909,0.5,0.5,0.5,0.4909090909090909,0.5,0.0,0.0,0.0,0.0,0.0,0.0
SVC,3,0.509090909090909,0.5,0.5,0.5,0.4909090909090909,0.5,0.0,0.0,0.0,0.0,0.0,0.0
SVC,4,0.509090909090909,0.5,0.5,0.5,0.4909090909090909,0.5,0.0,0.0,0.0,0.0,0.0,0.0
SVC,5,0.5714285714285714,0.38461538461538464,0.5714285714285714,0.4166666666666667,0.5384615384615384,0.4241452991452992,0.7,0.5555555555555556,0.5384615384615384,0.4166666666666667,1.0,0.8333333333333334
SVC,1,0.509090909090909,0.5,0.5,0.5,0.4909090909090909,0.5,0.0,0.0,0.0,0.0,0.0,0.0
SVC,2,0.509090909090909,0.5,0.5,0.5,0.4909090909090909,0.5,0.0,0.0,0.0,0.0,0.0,0.0
SVC,3,0.509090909090909,0.5,0.5,0.5,0.4909090909090909,0.5,0.0,0.0,0.0,0.0,0.0,0.0
SVC,4,0.509090909090909,0.5,0.5,0.5,0.4909090909090909,0.5,0.0,0.0,0.0,0.0,0.0,0.0
SVC,5,0.5714285714285714,0.38461538461538464,0.5714285714285714,0.4166666666666667,0.5384615384615384,0.4241452991452992,0.7,0.5555555555555556,0.5384615384615384,0.4166666666666667,1.0,0.8333333333333334
